Year,Malawi,Madagascar,Sierra Leone,Liberia,Angola,Pakistan,Niger,Zimbabwe,Bolivia,Ghana,Nigeria,Cote d'Ivoire,Senegal
2085,803625,1133599,230342,189620,2029442,6286269,2755128,500809,219328,990962,8257823,1431078,884109
2086,800678,1135439,228766,189416,2025835,6267510,2766677,499245,217972,990318,8184273,1433100,883603
2087,796113,1132295,227399,188529,2018204,6260888,2762139,496745,216618,985305,8164805,1430398,883382
2088,795916,1134464,226310,188451,2020292,6265654,2767328,495278,216176,984399,8126907,1432205,885155
2089,795922,1127156,224622,187457,2010378,6221159,2760041,495414,215619,979962,8085371,1428560,887972
2090,791909,1126877,223920,185941,2008039,6206087,2767391,492706,214061,975257,8043729,1433566,884792
2091,789849,1121924,222473,185621,2010095,6165262,2766429,488323,212878,973605,8028743,1425787,877540
2092,786740,1119198,220578,186047,2007219,6134095,2763674,485423,211692,970771,7993072,1433761,882688
2093,783176,1114817,218779,185096,2007834,6095154,2767352,483169,210428,967561,7933240,1425384,884884
2094,782069,1110125,217981,184619,2000890,6071947,2771211,480828,209563,963418,7913024,1429203,884452
2095,779561,1108939,216654,183425,1998630,6028940,2762005,478129,208456,961229,7854383,1430746,879604
2096,776096,1112125,216083,182634,1992767,6003696,2762626,477038,206627,959785,7839033,1429506,879468
2097,771938,1107353,214755,182458,1981843,5972774,2755062,474991,205235,954385,7775508,1425004,879581
2098,770894,1104501,212816,182253,1974894,5920841,2755972,473082,204284,954146,7743217,1426598,878721
2099,766467,1103489,211500,181171,1974038,5909804,2759174,470217,203466,951377,7707729,1418418,879946
2100,764046,1094946,209715,180863,1971350,5854985,2750166,468328,201856,948955,7668178,1412723,878915
