Year,Malawi,Madagascar,Sierra Leone,Liberia,Angola,Pakistan,Niger,Zimbabwe,Bolivia,Ghana,Nigeria,Cote d'Ivoire,Senegal
2021,80826.0,10103.0,0.0,0.0,0.0,0.0,0.0,10103.0,0.0,0.0,0.0,0.0,0.0
2022,39317.17,39317.17,31453.73,31453.73,31453.73,39317.17,31453.73,39317.17,31453.73,0.0,0.0,0.0,0.0
2023,24107.0,64286.0,3214.0,1607.0,64286.0,120536.0,64286.0,64286.0,32143.0,53036.0,120536.0,53036.0,53036.0
2024,77437.0,77437.0,46931.0,46931.0,117329.0,117329.0,77437.0,77437.0,44931.0,11233.0,117329.0,77437.0,77437.0
2025,42590.350000000006,85180.70000000001,51624.100000000006,51624.100000000006,129061.9,129061.9,85180.70000000001,85180.70000000001,49424.100000000006,12356.3,129061.9,85180.70000000001,85180.70000000001
2026,0.0,46849.38500000001,56786.51000000001,56786.51000000001,70984.04500000001,141968.09000000003,46849.38500000001,46849.38500000001,27183.255000000005,0.0,141968.09000000003,46849.38500000001,46849.38500000001
2027,0.0,0.0,0.0,62465.161000000015,78082.44950000002,78082.44950000002,51534.32350000001,51534.32350000001,0.0,0.0,78082.44950000002,51534.32350000001,51534.32350000001
